license_type,license_number,issue_date,expiration_date,primary_applicant,address,city,state,zip_code,telephone,location,year_of_issue,year_of_exp
BUILDING CONTRACTORS LICENSE,BC223468,01/05/2017,01/05/2027,BROOKFIELD WASHINGTON LLC,3201 JERMANTOWN ROAD,fairfax,VA,22030,(703)270-1400,POINT (-77.31122 38.87448),2017,2027
BUILDING CONTRACTORS LICENSE,BC231887,01/08/2025,01/08/2027,"Abode Construction, LLC",23450 Woodfield Road,gaithersburg,MD,20882,(301)412-1715,POINT (-77.18307 39.24111),2025,2027
BUILDING CONTRACTORS LICENSE,BC231889,01/08/2025,01/08/2027,RCG Homes LLC,12401 Glen Mill Rd,potomac,MD,20854,(240)793-6843,POINT (-77.21577 39.06089),2025,2027
BUILDING CONTRACTORS LICENSE,BC231888,01/08/2025,01/08/2027,"Edgewood Builders, Inc.",2423 Dexter Ave.,silver spring,MD,20902,(301)233-4380,POINT (-77.05266 39.02201),2025,2027
BUILDING CONTRACTORS LICENSE,BC230268,09/05/2023,09/05/2027,"Christopher Management, Inc.",10461 White Granite Drive,oakton,VA,22124,(703)352-5950,POINT (-77.30612 38.87252),2023,2027
BUILDING CONTRACTORS LICENSE,BC229489,10/17/2022,10/17/2024,NIROO'S CONSTRUCTION INC.,800 Rockwell Ave,gaithersburg,MD,20878,(301)469-0500,POINT (-77.19977 39.11185),2022,2024
BUILDING CONTRACTORS LICENSE,BC229531,11/03/2022,11/03/2026,R&LM CONSTRUCTION LLC,11119 Troy Road,rockville,MD,20852,(240)485-6271,POINT (-77.09015 39.03703),2022,2026
BUILDING CONTRACTORS LICENSE,BC225003,06/05/2018,06/05/2020,"Renovation Solutions, LLC",205 Warrenton Drive,silver spring,MD,20904,(301)807-2514,POINT (-77.00457 39.05317),2018,2020
BUILDING CONTRACTORS LICENSE,BC228296,03/03/2021,03/03/2027,"NEHEMIAH CONSTRUCTION, LLC",6000 Merriweather Dr,columbia,MD,21044,(240)417-1372,POINT (-76.86266 39.20705),2021,2027
BUILDING CONTRACTORS LICENSE,BC229278,06/10/2022,06/10/2024,"ASP 10008 DICKENS AVENUE, LLC",5283 Corporate Drive,frederick,MD,21703,(240)405-1333,POINT (-77.41859 39.37741),2022,2024
BUILDING CONTRACTORS LICENSE,BC227372,11/06/2019,11/06/2027,IMT DESIGN LLC,10114 Farmington Drive,fairfax,VA,22030,(571)224-3250,POINT (-77.29617 38.85735),2019,2027
BUILDING CONTRACTORS LICENSE,BC223856,06/08/2017,06/08/2021,"Micheal Harris CM Services, LLC","c/o Streetscape Partners, LLC",rockville,MD,20852,(301)978-3606,missing,2017,2021
BUILDING CONTRACTORS LICENSE,BC229411,09/07/2022,09/07/2024,RICHARD MEHRING,2424 Forest Glen Road,silver spring,MD,20910,(301)807-9200,POINT (-77.0518 39.01451),2022,2024
BUILDING CONTRACTORS LICENSE,BC229774,03/08/2023,03/08/2027,"DRB Group Mid-Atlantic, LLC",2099 Gaither Road,rockville,MD,20850,(301)696-5627,POINT (-77.1809 39.11724),2023,2027
BUILDING CONTRACTORS LICENSE,BC223866,06/14/2017,06/14/2019,"BenMar, LLC",21630 Ridgetop Circle,sterling,VA,20166,(703)863-5070,POINT (-77.40822 39.02705),2017,2019
BUILDING CONTRACTORS LICENSE,BC223867,06/14/2017,06/14/2027,"Green Wolfe Builders, LLC",9110 Crosby Road,silver spring,MD,20910,(240)375-6871,POINT (-77.03227 39.0056),2017,2027
BUILDING CONTRACTORS LICENSE,BC207800,02/11/2013,02/11/2027,"MID-ATLANTIC CUSTOM BUILDERS, LLC",11611 OLD GEORGETOWN RD,rockville,MD,20852,(301)231-0009x232,POINT (-77.11638 39.04856),2013,2027
BUILDING CONTRACTORS LICENSE,BC231927,01/14/2025,01/14/2027,Amir and Velida Juzbasic,8507 Garfield Street,bethesda,MD,20814,(202)642-8913,POINT (-77.11595 38.99541),2025,2027
BUILDING CONTRACTORS LICENSE,BC226505,02/05/2019,02/05/2027,"Madison Residential Development Company,",1950 Old Gallows Road,tysons,VA,22182,(703)506-9292,POINT (-77.2229 38.91105),2019,2027
BUILDING CONTRACTORS LICENSE,BC231947,01/21/2025,01/21/2027,Sky Gardens LLC,6145 Tuckerman Ln,rockville,MD,20852,(202)669-1242,POINT (-77.12892 39.03545),2025,2027
BUILDING CONTRACTORS LICENSE,BC230387,11/03/2023,11/03/2027,"Dwell by Dunmire, LLC",6010 Kingsford Road,bethesda,MD,20817,(443)742-6155,POINT (-77.12128 39.01357),2023,2027
BUILDING CONTRACTORS LICENSE,BC233248,11/05/2025,11/05/2027,Kehoe Group 6714 Georgia St LLC,4511 Everett St,kensington,MD,20895,(301)512-7069,POINT (-77.08981 39.02302),2025,2027
BUILDING CONTRACTORS LICENSE,BC207801,02/11/2013,02/11/2027,"RKB CONSTRUCTION, LLC",10501 TULIP LANE,potomac,MD,20854,(202)498-5755,POINT (-77.2179 39.05848),2013,2027
BUILDING CONTRACTORS LICENSE,BC2625,02/13/1999,02/13/2027,"OGDEN CONSTRUCTION, INC.",19133 HEMPSTONE AVENUE,poolesville,MD,20837,(301)461-8000x,POINT (-77.4 39.13822),1999,2027
BUILDING CONTRACTORS LICENSE,BC228244,02/02/2021,02/02/2027,AUGUST BUILD CO.,1750 Tysons Blvd.,tysons,VA,22102,(703)429-0165,POINT (-77.22281 38.92376),2021,2027
BUILDING CONTRACTORS LICENSE,BC3608,04/04/2001,04/04/2027,Maryland Customer Builders LLC,4526 Taraley Court,ellicott city,MD,21042,(800)888-4915,POINT (-76.93496 39.24308),2001,2027
BUILDING CONTRACTORS LICENSE,BC0938,02/17/1999,02/17/2027,"CalAtlantic Group, LLC",7035 Albert Einstein Drive,columbia,MD,21046,(410)423-4278,POINT (-76.8056 39.1749),1999,2027
BUILDING CONTRACTORS LICENSE,BC3387,04/01/1999,04/01/2027,"LEGEND CONSTRUCTION, INC.",NA,bethesda,MD,20814,(301)320-0125x,POINT (-77.09692 38.98637),1999,2027
BUILDING CONTRACTORS LICENSE,BC3159,03/09/1999,03/09/2027,"STERLING CUSTOM HOMES, LLC",10801 FOX HUNT LANE,potomac,MD,20854,(301)641-5037,POINT (-77.22133 39.0225),1999,2027
BUILDING CONTRACTORS LICENSE,BC3983,03/05/2009,03/05/2027,"FOXHALL HOMES, LLC",10525 AUBINOE FARM DRIVE,bethesda,MD,20814,(301)369-4255,POINT (-77.12219 39.02894),2009,2027
BUILDING CONTRACTORS LICENSE,BC231987,01/31/2025,01/31/2027,Brian H. Yong,16406 Batson Road,spencerville,MD,20868,(301)370-8652,POINT (-76.9642 39.12453),2025,2027
BUILDING CONTRACTORS LICENSE,BC208742,04/08/2013,04/08/2027,"GOSHEN VALLEY INVESTMENTS, LLC",9000 GOSHEN VALLEY DRIVE,gaithersburg,MD,20882,(301)775-5521,POINT (-77.18318 39.21368),2013,2027
BUILDING CONTRACTORS LICENSE,BC233269,11/10/2025,11/10/2027,"TriCrest Homes, LLC",606 Niblick Dr SE,vienna,VA,22180,(703)984-9738,POINT (-77.24499 38.90676),2025,2027
BUILDING CONTRACTORS LICENSE,BC233268,11/10/2025,11/10/2027,RK Homes Associates LLC,4800 Hampden Lane,bethesda,MD,20814,(301)634-8600,POINT (-77.09483 38.98274),2025,2027
BUILDING CONTRACTORS LICENSE,BC233287,11/12/2025,11/12/2027,Skyline Contractors LLC,10411 Motor City Dr,bethesda,MD,20817,(203)503-7572,POINT (-77.14306 39.02771),2025,2027
BUILDING CONTRACTORS LICENSE,BC232013,02/04/2025,02/04/2027,"Maronda Homes of Maryland, LLC",7051 Heathcote Village Way,gainsville,VA,20155,(724)695-4533,POINT (-77.60689 38.80471),2025,2027
BUILDING CONTRACTORS LICENSE,BC232015,02/04/2025,02/04/2027,Kurt Sebastian Rodarmer & Mariel Ochoa Rodarmer,1020 Quince Orchard Rd,gaithersburg,MD,20878,(240)401-5397,POINT (-77.24884 39.12362),2025,2027
BUILDING CONTRACTORS LICENSE,BC232014,02/04/2025,02/04/2027,TBI Contracting Inc.,1701 Boston Hollow Road,mckeesport,PA,15135,(412)896-1455,POINT (-79.82669 40.30937),2025,2027
BUILDING CONTRACTORS LICENSE,BC232012,02/04/2025,02/04/2027,"MAB of Maryland 6, LLC",11611 Old Georgetown Road,rockville,MD,20852,(301)231-0009x232,POINT (-77.11638 39.04856),2025,2027
BUILDING CONTRACTORS LICENSE,BC232011,02/04/2025,02/04/2027,PW Homes Associates LLC,4800 Hampden Lane,bethesda,MD,20814,(240)630-3799,POINT (-77.09483 38.98274),2025,2027
BUILDING CONTRACTORS LICENSE,BC232007,02/04/2025,02/04/2027,Ally DC LLC,7800 Wisconsin Ave,bethesda,MD,20814,(301)404-5557,POINT (-77.09553 38.98865),2025,2027
BUILDING CONTRACTORS LICENSE,BC232009,02/04/2025,02/04/2027,Concord Design & Build LLC,7918 Jones Branch Dr,mclean,VA,22102,(703)786-8024,POINT (-77.21702 38.92609),2025,2027
BUILDING CONTRACTORS LICENSE,BC232010,02/04/2025,02/04/2027,KBSG Associates LLC,4800 Hampden Lane,bethesda,MD,20814,(240)673-8633,POINT (-77.09483 38.98274),2025,2027
BUILDING CONTRACTORS LICENSE,BC232008,02/04/2025,02/04/2027,"Carbajal Properties, LLC",7100 24th Ave,hyattsville,MD,20783,(240)752-3018,POINT (-76.9697 38.97571),2025,2027
BUILDING CONTRACTORS LICENSE,BC228824,11/03/2021,11/03/2027,"DORRIER CONSTRUCTION, LLC",8818 Monard Drive,silver spring,MD,20910,(703)489-7475,POINT (-77.05931 39.00061),2021,2027
BUILDING CONTRACTORS LICENSE,BC228827,11/04/2021,11/04/2027,"BUILD DWELL, LLC",6010 Kingsford Road,bethesda,MD,20817,(443)742-6155,POINT (-77.12128 39.01357),2021,2027
BUILDING CONTRACTORS LICENSE,BC230348,10/12/2023,10/12/2027,WWK Construction Inc.,6912 Bradley Blvd,bethesda,MD,20817,(301)942-3695,POINT (-77.14208 39.00552),2023,2027
BUILDING CONTRACTORS LICENSE,BC228828,11/04/2021,11/04/2027,Capital Custom Contractors LLC,17B Firstfield Road #107,gaithersburg,MD,20878,(202)487-5468,POINT (-77.22595 39.13879),2021,2027
BUILDING CONTRACTORS LICENSE,BC233247,11/05/2025,11/05/2027,Kehoe Group 6413 Dahlonega Rd LLC,4511 Everett St,kensington,MD,20895,(301)512-7069,POINT (-77.08981 39.02302),2025,2027
BUILDING CONTRACTORS LICENSE,BC3369,10/04/1998,11/09/2027,LeNak Company,24727 RIDGE ROAD,damascus,MD,20872,(301)873-1282x,POINT (-77.21755 39.26472),1998,2027
BUILDING CONTRACTORS LICENSE,BC230410,11/28/2023,11/28/2027,Valley 2023 LLC,6116 EXECUTIVE BLVD,north bethesda,MD,20852,(301)251-2001,POINT (-77.12626 39.04758),2023,2027
BUILDING CONTRACTORS LICENSE,BC232047,02/07/2025,02/07/2027,OYL Homes LLC,6100 Day Long Ln,clarksville,MD,21029,(443)470-7063,POINT (-76.93487 39.21227),2025,2027
BUILDING CONTRACTORS LICENSE,BC227373,11/07/2019,11/07/2027,"COLONIAL HOME IMPROVEMENTS, LLC",10112 Counselman Road,potomac,MD,20854,(240)882-3089,POINT (-77.20456 39.02215),2019,2027
BUILDING CONTRACTORS LICENSE,BC232087,02/12/2025,02/12/2027,Voyeur Construction LLC,13754 Foggy Glen Dr.,silver spring,MD,20906,(301)525-1625,POINT (-77.02943 39.08061),2025,2027
BUILDING CONTRACTORS LICENSE,BC229807,03/21/2023,03/21/2025,"BC Beacon Terrace, LLC",1355 Beverly Road,mclean,VA,22101,(703)748-5872,POINT (-77.17757 38.93675),2023,2025
BUILDING CONTRACTORS LICENSE,BC217701,03/02/2019,03/02/2027,"PACIFIC CONSTRUCTION, LLC",2821-T Dorr Avenue,fairfax,VA,22031,(703)898-2024,POINT (-77.23317 38.87623),2019,2027
BUILDING CONTRACTORS LICENSE,BC217701,03/02/2019,03/02/2027,"PACIFIC CONSTRUCTION, LLC",2821-T Dorr Avenue,fairfax,VA,22031,(703)898-2024,POINT (-77.23317 38.87623),2019,2027
BUILDING CONTRACTORS LICENSE,BC3615,05/01/2001,05/01/2027,"STONE WORKS, INC.","165 MILL GREEN AVENUE,",gaithersburg,MD,20878,(301)670-6155x,POINT (-77.22559 39.12569),2001,2027
BUILDING CONTRACTORS LICENSE,BC226657,04/05/2019,04/05/2027,"The Kehoe Group, LLC",4511 Everett St.,kensington,MD,20895,(301)512-7069,POINT (-77.08981 39.02302),2019,2027
BUILDING CONTRACTORS LICENSE,BC232168,03/04/2025,03/04/2027,Arch Design Build Inc.,12982 Highland Oaks Ct.,fairfax,VA,22033,(571)275-4381,POINT (-77.39483 38.88466),2025,2027
BUILDING CONTRACTORS LICENSE,BC3913,03/13/2007,03/13/2027,"Stanley Martin Custom Homes, LLC",11710 Plaza America Drive,reston,VA,20190,(703)964-5173,POINT (-77.35109 38.9527),2007,2027
BUILDING CONTRACTORS LICENSE,BC2525,03/28/1999,03/28/2027,"BRADLEY CONSTRUCTION COMPANY, INC.",11515-B MOUNTAIN VIEW ROAD,damascus,MD,20872,(301)253-6087x,POINT (-77.23918 39.2845),1999,2027
BUILDING CONTRACTORS LICENSE,BC3605,04/04/2001,04/04/2027,"DOUGLAS CONSTRUCTION GROUP, LLC",8429 FOX RUN,potomac,MD,20854,(301)983-6947,POINT (-77.1752 39.0401),2001,2027
BUILDING CONTRACTORS LICENSE,BC232170,03/04/2025,03/04/2027,"Scherer Contracting, LLC",9766 Ormonds Terrace,ijamsville,MD,21754,(301)639-1107,POINT (-77.33014 39.385),2025,2027
BUILDING CONTRACTORS LICENSE,BC229890,04/28/2023,04/28/2027,CM Potomac Chase LLC,1355 Beverley Road,mclean,VA,22101,(703)734-9855,POINT (-77.17757 38.93675),2023,2027
BUILDING CONTRACTORS LICENSE,BC232167,03/04/2025,03/04/2027,Hamid H. Sichani & Nasim Amini Abbas,9420 Balfour Dr,bethesda,MD,20814,(240)505-4264,POINT (-77.10543 39.01064),2025,2027
BUILDING CONTRACTORS LICENSE,BC233307,11/17/2025,11/17/2027,Watkins Mill Builder LLC,1355 Beverly Rd,mclean,VA,22101,(703)734-9855,POINT (-77.17757 38.93675),2025,2027
BUILDING CONTRACTORS LICENSE,BC228294,03/03/2021,03/03/2027,"MCFARLAND WOODS, INC",7370 MacArthur Blvd.,glen echo,MD,20812,(202)345-5138,POINT (-77.14178 38.97019),2021,2027
BUILDING CONTRACTORS LICENSE,BC232171,03/04/2025,03/04/2027,Kehoe Group 4422 Walsh St LLC,4511 Everett St,kensington,MD,20895,(301)525-4555,POINT (-77.08981 39.02302),2025,2027
BUILDING CONTRACTORS LICENSE,BC226630,04/02/2019,04/02/2027,Chesapeake Custom Homes & Development,10451 Metropolitan Ave.,kensington,MD,20895,(301)252-0589,POINT (-77.07097 39.02702),2019,2027
BUILDING CONTRACTORS LICENSE,BC228476,05/05/2021,05/05/2027,"D.R. HORTON, INC.",137 Mitchells Chance Dr,edgewater,MD,21037,(301)795-4407,POINT (-76.56269 38.92864),2021,2027
BUILDING CONTRACTORS LICENSE,BC3166,04/01/1999,04/02/2027,"CRAFTMARK HOMES, INC.",1355 BEVERLY ROAD,mclean,VA,22101,(703)734-9855,POINT (-77.17757 38.93675),1999,2027
BUILDING CONTRACTORS LICENSE,BC229772,03/08/2023,03/08/2027,Alliance Builders MD LLC,201 Defense Hwy,annapolis,MD,21401,(410)721-4877,POINT (-76.56614 38.98535),2023,2027
BUILDING CONTRACTORS LICENSE,BC232169,03/04/2025,03/04/2027,GSS Builders LLC,6723 Curran St.,mclean,VA,22101,(571)378-1598,POINT (-77.17697 38.93516),2025,2027
BUILDING CONTRACTORS LICENSE,BC223754,04/17/2017,04/17/2027,"Peggy's Distinctive Interiors, LLC",5210 Myer Ct.,rockville,MD,20853,(301)318-3045,POINT (-77.10583 39.09561),2017,2027
BUILDING CONTRACTORS LICENSE,BC229773,03/08/2023,03/08/2027,"Horizon Builders Group, LLC",201 Defense Highway,annapolis,MD,21401,(410)721-4877,POINT (-76.56614 38.98535),2023,2027
BUILDING CONTRACTORS LICENSE,BC233270,11/10/2025,11/10/2027,Paul Slagle,9211 Cedarcrest Dr,bethesda,MD,20814,(301)442-5425,POINT (-77.10059 39.00698),2025,2027
BUILDING CONTRACTORS LICENSE,BC233271,11/10/2025,11/10/2027,Jose and Gisela Encarnacao,21517 Goshens Edge Ct,gaithersburg,MD,20882,(301)252-2870,POINT (-77.15477 39.20948),2025,2027
BUILDING CONTRACTORS LICENSE,BC228864,12/08/2021,12/08/2027,David S. Kelly Development Co. Inc.,4620 Drummond Avenue,chevy chase,MD,20815,(240)460-5947,POINT (-77.09289 38.96999),2021,2027
BUILDING CONTRACTORS LICENSE,BC227425,12/06/2019,12/06/2027,GOAL CONSTRUCTION CORPORATION,8350 Greensboro Drive,mclean,VA,22102,(703)568-5888,POINT (-77.23466 38.92704),2019,2027
BUILDING CONTRACTORS LICENSE,BC233369,12/08/2025,12/08/2027,"MABB of Maryland 6, LLC",6120 Executive Blvd,rockville,MD,20852,(301)231-0009,POINT (-77.12788 39.04786),2025,2027
BUILDING CONTRACTORS LICENSE,BC233370,12/08/2025,12/08/2027,Cross R Michael & Rodriguez Liliana,5404 Wehawken Rd,bethesda,MD,20816,(202)290-3112,POINT (-77.12386 38.96226),2025,2027
BUILDING CONTRACTORS LICENSE,BC233367,12/08/2025,12/08/2027,3N Realty LLC,6701 Democracy Blvd,bethesda,MD,20817,(301)996-7264,POINT (-77.13702 39.02219),2025,2027
BUILDING CONTRACTORS LICENSE,BC233368,12/08/2025,12/08/2027,BeaconCrest Homes Inc,1355 Beverly Rd,mclean,VA,22101,(703)748-5872,POINT (-77.17757 38.93675),2025,2027
BUILDING CONTRACTORS LICENSE,BC233371,12/17/2025,12/17/2027,"NAF Construction, LLC",5509 Sonoma Rd,bethesda,MD,20817,(301)404-1317,POINT (-77.11075 39.00175),2025,2027
BUILDING CONTRACTORS LICENSE,BC212541,12/31/2013,12/31/2027,"THE BENTOR COMPANIES, LLC",7201 Wisconsin Avenue,bethesda,MD,20814,(240)436-1200,POINT (-77.09296 38.98193),2013,2027
BUILDING CONTRACTORS LICENSE,BC212541,12/31/2013,12/31/2027,"THE BENTOR COMPANIES, LLC",7201 Wisconsin Avenue,bethesda,MD,20814,(240)436-1200,POINT (-77.09296 38.98193),2013,2027
BUILDING CONTRACTORS LICENSE,BC4067,12/13/2011,12/13/2027,"HOB HOMES, LLC",11250 S Glen Rd.,potomac,MD,20854,(240)751-0886x,POINT (-77.21703 39.03996),2011,2027
BUILDING CONTRACTORS LICENSE,BC222631,01/07/2016,01/07/2028,"KMA ASSOCIATES, INC.",4756 WOODLAND ROAD,ellicott city,MD,21042,(410)964-2973,POINT (-76.84975 39.24166),2016,2028
BUILDING CONTRACTORS LICENSE,BC213402,03/10/2014,03/10/2026,KEVIN SLEZAK,5241 TURKEY POINT ROAD,north east,MD,21901,(443)752-5621,POINT (-75.997643963 39.463360994),2014,2026
BUILDING CONTRACTORS LICENSE,BC231688,11/01/2024,11/01/2026,SAH Homes Associates LLC,4800 Hampden Lane,bethesda,MD,20814,(443)465-7832,POINT (-77.09483 38.98274),2024,2026
BUILDING CONTRACTORS LICENSE,BC231808,12/03/2024,12/03/2026,SAH Homes Associates LLC,4800 Hampden Lane,bethesda,MD,20814,(443)465-7832,POINT (-77.09483 38.98274),2024,2026
BUILDING CONTRACTORS LICENSE,BC4072,01/04/2012,01/04/2028,"TROPHY CONSTRUCTION, LLC",10322 Democracy Lane,potomac,MD,20854,(301)370-1054x,POINT (-77.16666 39.02501),2012,2028
BUILDING CONTRACTORS LICENSE,BC230467,12/12/2023,12/12/2027,Castlewood Wine LLC,4963 Elm Street,bethesda,MD,20817,(301)347-1627,POINT (-77.09799 38.98207),2023,2027
BUILDING CONTRACTORS LICENSE,BC230488,12/22/2023,12/22/2027,"Castlewood Cimino, LLC",4963 ELM STREET,bethesda,MD,20814,(301)347-1627,POINT (-77.09799 38.98207),2023,2027
BUILDING CONTRACTORS LICENSE,BC228407,04/13/2021,04/13/2027,"ERB PROPERTIES, LLC",10139 Bacon Drive,beltsville,MD,20705,(301)931-2212,POINT (-76.91117 39.02895),2021,2027
BUILDING CONTRACTORS LICENSE,BC3788,10/06/2004,04/06/2027,"JENDELL CONSTRUCTION, INC.",10524 DETRICK AVENUE,kensington,MD,20895,(301)942-3600x,POINT (-77.0776 39.02863),2004,2027
BUILDING CONTRACTORS LICENSE,BC3815,04/08/2005,04/08/2027,"Legend Builders, Inc.",307 Compton Ave,laurel,MD,20707,(301)490-3651x,POINT (-76.84976 39.09923),2005,2027
BUILDING CONTRACTORS LICENSE,BC229768,03/07/2023,03/07/2027,"PurBilt, Inc.",646A Main St,laurel,MD,20707,(301)842-7230,POINT (-76.85358 39.10843),2023,2027
BUILDING CONTRACTORS LICENSE,BC229888,04/28/2023,04/28/2025,"Caruso Homes on Your Lot MD 1, LLC",2120 Baldwin Avenue,crofton,MD,21114,(301)261-0277,POINT (-76.69497 38.99168),2023,2025
BUILDING CONTRACTORS LICENSE,BC232187,03/11/2025,03/11/2027,CM Strathmore LLC,1355 Beverly Road,mclean,VA,22101,(703)734-9855,POINT (-77.17757 38.93675),2025,2027
BUILDING CONTRACTORS LICENSE,BC226399,12/05/2018,12/05/2026,"JT Custom Builders, LLC",3860 W. Watersville Rd.,mt. airy,MD,21771,(240)651-4200,POINT (-77.13034 39.37649),2018,2026
BUILDING CONTRACTORS LICENSE,BC226738,05/08/2019,05/08/2027,"GIBSON HOMES, LLC",5272 River Road #600,bethesda,MD,20816,(202)364-1555,POINT (-77.10536 38.96573),2019,2027
BUILDING CONTRACTORS LICENSE,BC232207,03/18/2025,03/18/2027,"ASP 5901 Kingswood Road, LLC","5283 Corporate Dr, Ste 300",frederick,MD,21703,(240)405-1345,POINT (-77.418583 39.378334),2025,2027
BUILDING CONTRACTORS LICENSE,BC232267,03/19/2025,03/19/2027,Southglen Investment LLC,8118 Spring Hill Farm Dr.,mclean,VA,22102,(301)785-5743,POINT (-77.22649 38.9482),2025,2027
